Periodo,Total_Mensual,Total_Anual,Origen_nacional_Mensual,Origen_nacional_Anual,Origen_importado_Mensual,Origen_importado_Anual,Duraderos_nacional_Anual,Semi_duraderos_nacional_Anual,No_duraderos_nacional_Anual,Servicios_nacional_Anual,Duraderos_importado_Anual,Semi_duraderos_importado_Anual,No_duraderos_importado_Anual
nov-95,0.68,-8.47,,-5.1,-1.24,-41.42,-11.88,-8.26,-2.82,-5.93,-54.12,-37.88,-38.41
dic-95,1.91,-5.53,,-2.74,11.46,-30.73,-14.14,1.62,-0.18,-6.86,-36.55,-30.42,-32.53
ene-96,-0.46,-1.45,,-1.35,2.12,14.59,-11.78,5.94,2.01,-2.81,-13.2,6.85,35.67
feb-96,-0.37,-0.68,,-0.83,3.37,27.79,7.23,8.37,1.42,-2.63,39.41,24.83,35.04
mar-96,2.0,2.49,,1.94,2.76,31.21,1.42,11.34,2.09,-2.47,41.35,0.58,34.91
abr-96,-1.49,1.97,,2.19,-2.98,18.72,24.38,22.1,1.96,-0.49,93.08,18.02,19.69
may-96,0.82,3.84,,3.41,1.58,21.55,19.16,28.53,2.8,-0.34,39.31,18.85,11.37
jun-96,0.36,3.44,,3.16,-8.17,10.64,23.94,26.85,-1.56,-0.24,-5.95,7.08,2.19
jul-96,0.73,4.15,,4.33,5.23,13.77,28.84,28.83,6.97,-0.06,38.76,30.01,13.57
ago-96,0.24,4.07,,4.17,7.9,6.34,29.25,19.41,2.84,0.9,16.12,10.89,-7.23
sep-96,0.94,4.97,,4.05,7.59,32.41,14.88,12.34,3.05,0.33,53.15,27.86,31.67
oct-96,0.94,6.45,,5.3,-0.22,31.72,25.67,13.8,8.18,2.17,60.77,37.29,27.51
nov-96,0.39,6.14,,5.12,-6.96,24.08,21.29,8.59,5.29,2.59,40.68,27.37,11.34
dic-96,0.68,4.86,,4.17,5.84,17.82,9.76,9.41,3.24,2.43,3.42,37.54,28.2
ene-97,0.03,5.36,,4.77,1.54,17.15,15.67,12.94,2.4,4.25,13.25,29.57,4.46
feb-97,1.89,7.76,,7.0,7.29,21.59,13.46,11.72,4.47,5.65,7.08,32.94,10.47
mar-97,-0.73,4.88,,4.29,-0.36,17.9,10.78,2.29,-2.45,5.54,19.28,32.3,1.33
abr-97,2.04,8.64,,7.55,7.36,30.46,29.81,24.82,8.11,7.14,25.95,42.44,40.18
may-97,0.2,7.97,,6.92,-1.3,26.77,24.01,8.44,4.25,7.54,19.77,24.35,25.77
jun-97,1.43,9.12,,7.63,9.04,50.54,27.24,14.46,5.43,7.04,105.65,39.99,50.26
jul-97,-0.33,7.98,,6.28,1.22,44.81,29.55,14.05,2.16,7.44,72.48,39.97,37.36
ago-97,1.0,8.8,,7.3,-0.7,33.26,21.3,7.61,3.95,7.92,49.11,24.75,20.68
sep-97,0.36,8.16,,7.35,2.87,27.42,28.02,15.93,5.97,7.12,63.0,36.41,22.78
oct-97,1.04,8.27,,7.29,-0.88,26.58,22.19,14.03,6.12,6.52,40.27,20.35,20.73
nov-97,1.01,8.94,,7.08,7.69,46.51,17.01,9.34,3.74,5.72,91.1,26.7,29.68
dic-97,-0.47,7.69,,6.28,-0.21,38.13,25.41,8.77,5.56,5.13,122.15,32.3,26.81
ene-98,1.24,9.0,,6.96,2.61,39.59,17.66,5.92,6.69,4.95,96.67,22.25,20.33
feb-98,1.3,8.37,,6.7,-2.57,26.76,20.47,13.67,6.91,3.89,56.44,17.74,17.83
mar-98,1.68,10.99,,9.07,5.6,34.35,37.25,24.98,14.58,4.52,86.24,38.62,41.5
abr-98,-1.17,7.5,,6.53,-4.3,19.76,5.92,3.01,5.07,2.6,28.96,5.96,4.63
may-98,1.02,8.38,,7.36,1.46,23.1,12.32,9.2,9.82,2.81,47.37,9.86,10.58
jun-98,-0.56,6.25,,5.77,-1.09,11.66,10.63,8.45,10.35,2.41,51.83,18.05,5.48
jul-98,0.05,6.65,,6.55,0.36,10.71,6.13,4.54,11.96,3.05,52.81,2.1,0.29
ago-98,0.61,6.23,,6.19,-0.67,10.74,10.01,7.42,8.37,3.18,34.67,11.94,1.0
sep-98,-0.2,5.64,,5.77,-1.43,6.11,0.5,10.86,8.34,3.43,1.97,7.64,2.97
oct-98,0.44,5.02,,4.9,3.91,11.24,4.24,5.51,7.04,2.0,23.26,5.07,5.41
nov-98,0.01,3.99,,4.82,-3.83,-0.66,-4.22,6.16,7.44,2.66,-17.67,5.9,16.57
dic-98,0.51,5.02,,5.38,1.41,0.95,-4.03,3.03,7.57,3.3,-7.87,-1.47,8.72
ene-99,-0.3,3.42,,4.29,-6.65,-8.16,-3.6,1.23,4.89,3.56,-26.84,-4.43,-10.02
feb-99,0.25,2.34,,3.08,4.88,-1.14,-1.39,-2.07,2.79,4.88,-26.36,-2.75,12.56
mar-99,0.36,1.01,,1.9,3.43,-3.17,-5.81,-2.18,2.79,5.44,-7.06,-1.34,3.93
abr-99,1.1,3.33,,3.44,1.21,2.4,5.67,4.21,1.39,5.37,12.4,-2.44,-0.38
may-99,0.61,2.91,,2.91,2.09,3.04,1.04,1.47,0.51,5.56,8.99,2.98,2.09
jun-99,0.0,3.5,,2.92,5.28,9.68,7.48,3.85,-0.62,6.46,5.75,-0.04,17.66
jul-99,1.39,4.89,,4.19,-2.43,6.63,10.11,5.58,0.18,7.32,6.95,-3.37,8.81
ago-99,0.63,4.9,,3.94,5.28,13.02,8.42,6.98,0.71,7.16,18.69,10.57,22.92
sep-99,0.64,5.78,,4.85,0.23,14.92,13.54,3.66,1.94,7.19,28.33,-3.25,16.57
oct-99,0.02,5.35,,4.25,1.24,11.98,-2.89,-0.64,0.96,7.94,3.56,0.26,14.43
nov-99,0.67,6.04,,4.4,7.15,24.76,5.72,6.94,1.97,7.66,74.62,16.82,22.23
dic-99,1.36,6.94,,5.27,0.23,23.31,5.96,12.86,2.29,6.26,49.82,2.11,19.14
ene-00,1.74,9.12,,7.23,2.31,35.15,15.46,13.38,5.06,7.06,73.98,0.44,39.49
feb-00,0.34,9.21,,7.33,4.74,34.98,17.77,14.43,7.09,7.57,97.45,22.07,31.55
mar-00,0.13,8.96,,7.15,-2.15,27.7,18.95,16.02,4.73,7.02,43.12,5.91,23.72
abr-00,0.71,8.54,,6.56,7.02,35.03,9.17,3.39,3.47,6.85,42.81,6.92,26.99
may-00,0.94,8.9,,7.16,4.86,38.7,17.02,14.49,8.35,6.62,72.8,21.26,54.47
jun-00,0.42,9.35,,7.74,-1.06,30.34,18.15,14.01,7.37,6.04,60.79,4.36,27.51
jul-00,1.44,9.41,,7.39,5.69,41.19,18.12,8.24,5.74,5.28,76.53,16.6,29.18
ago-00,-0.36,8.34,,7.05,-4.82,27.65,22.92,11.9,8.41,5.18,29.64,17.84,42.45
sep-00,0.68,8.38,,6.69,4.25,32.77,15.52,9.38,6.34,5.35,43.82,12.72,33.11
oct-00,1.12,9.57,,7.94,2.14,33.95,28.26,13.28,7.8,4.87,66.45,21.66,39.57
nov-00,0.18,9.03,,7.1,6.2,32.77,22.31,5.39,7.5,4.8,54.17,0.75,30.86
dic-00,-0.8,6.71,,5.27,-5.63,25.0,3.14,-3.18,4.11,4.78,27.35,6.23,15.6
ene-01,0.45,5.36,,3.81,7.52,31.36,13.02,3.37,4.5,5.08,44.5,26.79,46.07
feb-01,-0.28,4.71,,3.35,-1.0,24.16,2.04,-7.28,2.07,4.08,26.68,-3.48,18.18
mar-01,0.13,4.72,,3.25,-2.03,24.3,-2.73,-6.71,4.12,4.66,46.01,-0.84,14.87
abr-01,-0.31,3.65,,3.08,-5.46,9.8,-1.98,-3.95,5.63,3.91,13.44,9.71,17.34
may-01,0.26,2.95,,2.32,1.54,6.33,1.54,-6.03,3.24,3.38,11.29,-5.05,6.67
jun-01,1.85,4.43,,3.58,3.85,11.61,-4.45,-10.05,7.41,3.45,6.12,-6.83,15.17
jul-01,-1.65,1.25,,1.15,-2.76,2.68,-8.37,-11.6,4.47,2.67,-0.84,3.61,14.57
ago-01,0.57,2.18,,1.56,2.31,10.37,-6.09,-10.38,4.5,2.62,48.69,-6.27,3.34
sep-01,0.39,1.9,,1.45,0.85,6.77,-5.67,-10.22,3.28,0.97,24.11,-10.18,-2.41
oct-01,-0.29,0.47,,0.22,-1.23,3.24,-5.3,-10.41,4.57,0.75,20.63,-0.94,2.98
nov-01,0.15,0.45,,0.53,1.39,-1.44,-3.6,-6.22,2.9,0.31,6.61,-2.98,-5.67
dic-01,0.4,1.66,,1.19,1.68,6.21,-1.11,-8.26,3.01,0.82,16.69,-6.61,7.51
ene-02,-0.33,0.88,,0.89,-3.86,-5.03,-7.13,-7.79,4.66,-0.47,14.8,-10.32,-15.11
feb-02,-1.17,-0.02,,0.15,0.38,-3.71,-0.88,-7.66,3.33,-1.2,4.11,-4.42,-12.55
mar-02,2.4,2.24,,1.76,5.82,4.01,-2.57,-12.33,0.71,-1.1,-3.21,-2.24,-11.71
abr-02,0.43,3.01,,2.34,3.06,13.39,22.5,8.31,9.99,-0.01,51.47,13.0,22.29
may-02,-0.17,2.56,,1.69,3.46,15.53,1.99,-1.22,4.37,-0.05,28.23,6.36,4.72
jun-02,0.36,1.06,,0.61,-3.17,7.72,2.62,-2.14,-0.3,-0.5,22.61,-1.7,-8.46
jul-02,-0.55,2.19,,1.96,-0.39,10.35,0.53,5.48,6.7,-1.17,26.7,7.57,11.25
ago-02,0.17,1.79,,1.58,0.03,7.89,-1.63,0.67,3.54,-0.82,14.72,3.86,4.39
sep-02,0.07,1.46,,1.23,0.02,6.99,2.37,-2.1,3.73,-0.36,5.13,21.33,11.02
oct-02,0.45,2.21,,1.9,1.35,9.78,3.78,2.39,2.04,0.71,15.24,6.26,6.6
nov-02,-1.0,1.03,,0.98,-1.58,6.57,5.49,-4.93,1.65,0.71,-2.7,2.03,10.06
dic-02,-0.15,0.48,,0.88,-2.13,2.57,-3.83,-6.34,3.79,1.02,-1.79,9.64,14.02
ene-03,1.35,2.17,,2.32,1.12,7.89,-3.62,-4.25,4.71,1.62,-2.9,-16.43,21.87
feb-03,0.07,3.45,,4.14,-4.76,2.36,-0.65,0.93,7.09,2.42,-15.55,-12.0,18.22
mar-03,0.27,1.3,,2.24,0.87,-2.43,0.33,2.51,6.99,1.92,-17.02,-15.97,30.89
abr-03,0.51,1.38,,1.67,4.34,-1.21,-14.16,-12.01,1.69,1.98,-21.8,-24.76,10.25
may-03,-0.28,1.26,,2.41,-8.1,-12.26,-10.06,-5.26,5.07,2.2,-29.62,-25.69,2.23
jun-03,0.72,1.63,,2.66,3.08,-6.59,-6.24,-5.3,6.33,1.75,-25.72,-18.36,19.67
jul-03,0.57,2.77,,2.5,14.43,7.3,0.88,-5.38,3.99,2.21,-17.37,-20.97,35.91
ago-03,-1.04,1.53,,1.71,-7.09,-0.33,-5.31,-8.34,2.52,1.88,-13.38,-21.41,13.24
sep-03,0.29,1.75,,2.17,-1.35,-1.69,-4.42,-0.21,5.44,2.17,-3.72,-15.36,19.21
oct-03,0.01,1.3,,1.75,1.71,-1.33,-6.73,-2.47,2.33,2.29,-14.22,-20.48,14.79
nov-03,0.37,2.7,,3.13,-1.62,-1.37,-8.72,-3.63,4.19,3.16,-10.04,-27.34,7.41
dic-03,1.41,4.3,,4.64,1.56,2.35,32.26,9.21,4.41,4.3,19.97,-19.84,7.4
ene-04,-1.76,1.11,,1.39,-5.32,-4.18,-7.54,3.45,-0.35,3.03,-25.64,-5.56,4.94
feb-04,1.27,2.32,,1.45,9.24,9.9,-5.76,4.31,0.77,3.18,19.42,-2.43,10.77
mar-04,0.85,2.91,,2.29,1.5,10.58,1.18,11.3,2.83,3.05,31.19,9.41,14.8
abr-04,-0.45,1.93,,1.92,-1.62,4.27,-0.25,3.34,1.02,2.87,14.85,-2.57,-3.3
may-04,0.02,2.24,,1.32,3.28,17.18,2.56,3.13,-1.98,2.15,36.41,-5.42,4.92
jun-04,0.07,1.58,,0.93,-0.94,12.61,-2.21,9.07,0.34,2.89,42.4,2.06,9.15
jul-04,0.25,1.25,,1.4,0.94,-0.67,0.81,4.18,-1.83,3.24,21.44,-10.79,-12.97
ago-04,0.6,2.92,,2.27,3.54,10.69,5.49,8.16,0.04,3.7,47.09,5.66,5.34
sep-04,-0.19,2.44,,1.66,-1.04,11.04,6.18,4.11,-1.25,3.63,31.11,-10.32,3.78
oct-04,-0.15,2.28,,1.76,-1.5,7.54,4.69,0.51,-2.82,3.34,16.33,-8.06,-7.23
nov-04,1.66,3.59,,2.81,2.62,12.16,7.82,4.22,4.86,3.47,51.55,16.66,3.94
dic-04,-0.26,1.88,,0.88,1.84,12.47,-0.67,5.03,-1.19,3.07,17.88,2.94,5.7
ene-05,0.28,3.99,,2.84,2.29,21.52,4.17,-1.91,1.22,2.94,53.26,8.51,6.59
feb-05,-0.8,1.87,,1.19,-1.74,9.31,3.15,0.05,-0.4,2.55,26.06,5.96,3.34
mar-05,-0.27,0.73,,0.27,-0.39,7.27,-6.17,-9.98,-4.74,3.01,14.95,-7.84,-7.74
abr-05,0.36,1.55,,0.88,0.0,9.04,8.67,4.81,2.39,1.98,23.83,-0.63,6.61
may-05,0.66,2.2,,1.85,-0.13,5.45,3.91,-0.38,3.13,2.04,10.36,10.77,9.77
jun-05,-0.81,1.3,,0.63,2.67,9.3,4.35,-2.47,-0.27,1.41,19.06,3.27,1.25
jul-05,0.93,1.99,,0.91,2.48,10.97,-3.39,-3.29,-0.17,0.47,7.39,11.07,5.52
ago-05,0.66,2.06,,2.01,-5.97,0.78,7.21,1.0,5.16,1.18,-1.3,12.39,6.35
sep-05,0.94,3.21,,3.12,2.46,4.34,9.09,0.56,4.63,1.29,4.66,18.6,2.61
oct-05,0.22,3.6,,2.86,1.83,7.86,6.96,0.51,4.58,0.7,10.65,7.02,6.29
nov-05,0.04,1.95,,1.38,-1.19,3.86,3.52,6.16,2.35,0.09,-7.27,2.75,11.48
dic-05,0.63,2.86,,2.02,4.22,6.29,8.41,3.8,0.56,0.75,11.19,2.3,-3.56
ene-06,1.23,3.83,,3.11,2.18,6.17,9.25,8.88,4.6,1.23,34.21,8.37,0.57
feb-06,-0.26,4.4,,3.59,-1.92,5.98,7.39,7.64,4.89,1.58,25.16,2.99,-3.06
mar-06,-0.11,4.56,,4.13,-2.28,3.97,19.48,17.35,7.45,2.37,12.44,11.62,5.87
abr-06,1.08,5.32,,4.78,3.46,7.57,-4.2,-2.74,0.42,3.46,0.56,-6.89,-7.8
may-06,0.25,4.9,,4.32,2.58,10.48,6.01,9.47,5.85,3.96,25.88,10.86,6.9
jun-06,0.49,6.27,,6.09,-1.39,6.11,12.7,10.06,7.0,3.92,5.42,10.15,6.46
jul-06,-0.04,5.25,,5.05,1.55,5.15,7.38,8.95,4.11,4.07,29.29,-0.68,-5.05
ago-06,0.17,4.73,,3.74,2.49,14.61,5.34,5.91,2.97,4.58,39.43,0.64,2.55
sep-06,0.3,4.06,,3.01,2.69,14.87,5.27,-0.17,1.1,4.4,29.56,6.93,1.37
oct-06,0.17,4.0,,3.16,0.8,13.7,6.69,0.08,3.2,4.93,34.39,17.26,4.62
nov-06,0.07,4.04,,3.0,1.41,16.7,2.59,0.72,1.26,5.45,36.53,4.65,-1.21
dic-06,-0.32,3.06,,3.08,-6.11,5.14,-6.82,-4.2,1.6,4.62,2.0,3.51,-3.46
ene-07,-0.85,0.94,,1.22,-2.47,0.35,1.41,0.35,-0.01,5.06,3.94,17.06,4.3
feb-07,0.47,1.68,,1.68,2.53,4.9,-2.3,-2.01,0.3,4.41,3.39,2.79,8.63
mar-07,0.71,2.52,,1.96,3.45,11.05,-1.85,-2.66,0.22,4.23,16.02,7.94,3.92
abr-07,-0.17,1.25,,0.73,1.03,8.44,-5.4,1.13,-1.65,3.57,15.69,9.61,8.32
may-07,0.15,1.14,,0.78,-1.3,4.34,-5.01,2.13,-1.22,3.27,8.09,-2.8,2.56
jun-07,0.78,1.43,,0.73,3.75,9.78,-6.44,-0.17,-1.39,3.34,12.81,5.79,0.53
jul-07,-1.37,0.08,,0.38,-9.46,-2.13,-6.54,1.91,-1.17,3.5,-3.2,21.62,0.9
ago-07,1.02,0.93,,0.91,7.06,2.24,-1.55,7.64,-1.47,3.13,-12.63,12.99,10.92
sep-07,-0.13,0.5,,0.52,0.8,0.35,-8.71,1.84,-3.31,2.55,-12.86,4.98,0.79
oct-07,0.64,0.98,,1.5,-3.48,-3.91,-0.05,6.52,1.74,3.39,-17.41,10.32,12.29
nov-07,-0.25,0.66,,0.95,2.52,-2.86,-1.81,4.95,-0.78,3.25,-16.02,6.57,8.85
dic-07,-0.85,0.12,,-0.25,-0.22,3.23,-2.85,1.69,-3.64,2.63,-2.52,2.04,9.22
ene-08,1.32,2.31,,1.74,1.86,7.82,2.04,2.3,2.32,1.01,8.79,19.83,5.68
feb-08,0.84,2.69,,2.18,1.75,7.0,3.48,4.92,4.57,2.4,4.96,24.69,16.31
mar-08,-0.52,1.43,,1.14,0.2,3.63,-8.44,-11.18,-3.3,1.29,-13.65,-4.96,2.1
abr-08,0.44,2.05,,2.55,-4.65,-2.19,23.63,7.44,8.64,1.26,-14.86,31.66,20.06
may-08,0.44,2.34,,2.51,3.65,2.72,8.22,-5.37,2.97,1.78,-19.71,11.64,12.34
jun-08,0.45,2.01,,2.54,-1.17,-2.16,5.28,-4.37,1.53,2.17,-18.5,9.05,5.67
jul-08,0.12,3.55,,2.6,6.12,14.68,9.92,-4.13,6.51,1.84,9.51,22.64,23.63
ago-08,-1.22,1.25,,1.31,-6.17,0.51,-4.64,-14.59,1.88,1.98,-10.2,6.19,-5.25
sep-08,-0.64,0.74,,1.07,-2.35,-2.63,-2.07,-7.09,4.03,2.32,0.08,20.96,4.59
oct-08,-1.24,-1.15,,-0.57,-5.51,-4.68,-4.8,-3.51,-0.91,1.19,-1.71,0.17,-12.49
nov-08,-0.9,-1.79,,-0.3,-8.23,-14.67,-12.65,-15.25,0.2,1.16,-22.46,-11.25,-22.26
dic-08,-3.28,-4.19,,-2.66,-2.28,-16.43,-17.06,-17.59,1.13,1.75,-10.03,3.97,-14.42
ene-09,-2.69,-7.99,,-5.56,-9.55,-25.79,-24.05,-30.92,-7.86,2.85,-47.71,-14.99,-15.73
feb-09,0.27,-8.51,,-5.92,0.11,-26.99,-23.75,-27.7,-11.13,2.25,-44.57,-12.04,-24.48
mar-09,0.03,-8.0,,-5.24,-1.0,-27.86,-25.86,-10.15,-4.8,2.78,-31.54,-3.85,-15.97
abr-09,-0.54,-8.91,,-7.32,3.14,-21.97,-35.59,-31.09,-12.21,-0.35,-38.48,-20.24,-23.41
may-09,-3.45,-12.43,,-10.88,-5.38,-28.77,-36.82,-30.63,-13.76,-4.14,-40.11,-24.65,-27.81
jun-09,3.2,-10.03,,-8.45,5.1,-24.25,-31.75,-27.18,-9.66,0.28,-35.82,-15.07,-12.84
jul-09,1.25,-9.01,,-6.71,1.05,-27.87,-31.36,-17.82,-10.75,2.41,-39.85,-21.66,-23.38
ago-09,1.0,-6.97,,-5.34,3.59,-20.36,-28.93,-19.22,-8.27,2.1,-22.69,-17.4,-17.84
sep-09,-0.3,-6.65,,-5.2,-0.72,-19.03,-27.65,-12.98,-7.34,1.0,-29.02,-18.47,-13.35
oct-09,1.06,-4.47,,-3.65,2.26,-12.37,-19.45,-11.61,-5.86,1.45,-22.69,-17.07,-4.92
nov-09,1.09,-2.55,,-2.54,2.29,-2.32,-8.01,1.63,-3.58,-0.03,-3.95,-2.15,6.22
dic-09,0.59,1.35,,1.28,1.77,1.73,-5.61,11.5,5.05,-1.53,-12.77,5.62,9.74
ene-10,-1.17,2.93,,1.67,3.86,16.8,0.21,26.45,1.62,-2.7,34.22,-0.8,7.58
feb-10,0.31,2.98,,1.55,0.28,17.01,3.71,18.3,5.56,-4.33,33.09,-0.42,13.92
mar-10,0.8,3.77,,2.38,-0.65,17.42,39.83,20.29,5.57,-3.79,33.56,21.69,13.61
abr-10,0.79,5.15,,4.41,-2.62,10.87,35.01,25.46,7.54,-3.45,44.26,2.47,-1.39
may-10,0.53,9.49,,8.52,5.47,23.58,38.72,29.97,11.32,-0.76,56.01,21.69,8.48
jun-10,0.08,6.18,,5.46,-5.13,11.55,32.72,31.2,10.45,-4.53,37.76,20.73,-8.1
jul-10,-0.1,4.76,,3.94,1.06,11.55,28.2,20.71,9.63,-6.05,20.36,12.06,3.06
ago-10,0.03,3.76,,3.27,0.74,8.48,34.76,23.1,9.69,-6.96,18.31,24.07,6.02
sep-10,1.32,5.44,,4.86,2.43,11.93,47.89,14.25,10.45,-6.0,27.64,13.92,0.04
oct-10,-0.11,4.21,,3.31,1.65,11.27,30.53,15.67,5.54,-4.84,15.37,22.09,-2.99
nov-10,0.9,4.01,,3.58,-2.05,6.54,29.02,18.17,9.32,-3.49,18.2,26.88,2.24
dic-10,0.33,3.74,,3.6,-2.0,2.59,34.83,15.94,5.34,-2.41,3.06,10.25,-6.83
ene-11,1.65,6.71,,6.38,4.75,3.48,30.93,26.37,9.93,-2.27,15.0,16.18,-5.25
feb-11,-0.19,6.18,,5.86,-0.94,2.22,29.69,18.04,8.75,-1.14,6.02,15.81,-7.09
mar-11,-0.29,5.04,,4.49,1.01,3.93,11.05,18.0,6.18,-0.31,-2.01,5.69,4.91
abr-11,-0.07,4.15,,3.63,0.31,7.06,11.35,5.71,3.63,1.11,7.59,15.37,1.12
may-11,0.64,4.27,,3.96,3.36,4.92,14.03,18.33,2.66,1.81,3.38,19.31,12.18
jun-11,0.07,4.25,,3.61,-1.21,9.25,13.96,15.17,1.16,2.68,0.8,9.86,10.97
jul-11,0.61,4.99,,4.39,0.65,8.81,5.07,12.69,1.35,4.17,14.43,6.08,-1.09
ago-11,0.43,5.41,,4.94,-0.27,7.73,5.85,16.37,5.05,5.39,22.11,11.74,4.92
sep-11,0.31,4.37,,4.18,-0.08,5.09,-5.56,10.53,2.25,6.26,6.23,11.01,5.05
oct-11,0.25,4.75,,5.21,-0.49,2.87,2.12,10.91,3.76,6.43,10.21,1.5,-0.38
nov-11,-0.87,2.91,,3.17,-1.32,3.64,0.67,11.33,2.06,4.72,5.97,3.39,-2.22
dic-11,1.3,3.9,,3.72,4.49,10.5,5.54,9.02,-1.25,6.64,13.74,7.9,-0.69
ene-12,-1.53,0.64,,0.49,-0.29,5.19,-8.52,7.1,-3.5,5.7,8.42,17.31,6.91
feb-12,0.08,0.91,,0.95,-1.92,4.14,-8.07,7.84,-1.38,5.84,11.58,15.11,0.1
mar-12,1.16,2.37,,2.41,1.99,5.15,-0.04,9.65,-1.51,4.64,15.19,0.14,-8.71
abr-12,0.4,2.85,,2.75,3.02,7.99,-4.55,16.4,-1.54,3.22,16.77,10.53,2.26
may-12,-1.0,1.18,,1.65,-5.61,-1.38,1.63,8.48,0.37,3.47,9.41,8.21,-4.75
jun-12,1.43,2.55,,2.96,2.31,2.14,-1.29,7.14,1.63,3.67,11.64,2.7,-8.83
jul-12,0.27,2.2,,2.28,1.57,3.07,4.91,9.07,0.27,3.25,20.44,10.93,-0.82
ago-12,0.72,2.49,,2.1,3.56,7.02,8.28,3.04,0.54,3.49,6.37,7.93,2.95
sep-12,0.33,2.5,,1.96,0.67,7.81,5.29,5.31,-3.24,2.47,-0.88,6.02,0.2
oct-12,0.17,2.42,,1.5,0.29,8.66,2.4,4.79,3.2,2.61,15.94,27.0,16.54
nov-12,0.99,4.34,,2.7,8.25,19.19,7.72,3.42,1.32,4.39,29.43,7.92,9.21
dic-12,-2.04,0.9,,-0.59,-1.9,11.9,-9.69,-6.26,-4.19,1.38,16.09,-1.24,0.44
ene-13,1.43,3.93,,2.71,0.76,13.07,14.69,8.85,4.53,2.11,34.13,0.41,8.45
feb-13,0.59,4.46,,3.05,1.38,16.88,9.93,8.94,0.06,1.53,25.42,-2.74,6.83
mar-13,-0.26,2.99,,1.66,-0.15,14.43,-6.87,-7.85,-3.84,2.84,12.43,-5.34,-2.95
abr-13,-0.17,2.41,,1.1,0.33,11.44,3.98,10.16,5.36,1.82,36.74,4.57,25.38
may-13,0.85,4.32,,2.61,1.26,19.55,1.34,3.33,2.03,3.34,31.15,-5.64,18.16
jun-13,-0.33,2.51,,0.85,-0.43,16.34,-2.89,-0.77,-1.99,2.17,16.55,-8.17,18.45
